"cityid1" "kshkod"
"932" 16547 1244
"937" 6144 2657
"951" 5743 1502
"954" 17154 1346
"956" 6143 2280
"957" 16946 2192
"972" 29560 3126
"987" 14752 1892
"989" 12545 2131
"995" 30151 2800
"1012" 16349 1730
"1030" 69970 3011
"1035" 15344 3032
"1036" 8342 3386
"1038" 17344 2103
"1040" 16542 1935
"1053" 15742 1875
"1058" 29151 580
"1076" 1942 2346
"1094" 9942 231
"1104" 16555 1212
"1119" 69563 2423
"1121" 9950 2536
"1151" 19948 582
"1162" 19747 325
"1170" 17157 3420
"1177" 3742 1834
"1204" 10943 3196
"1211" 45962 396
"1229" 25354 470
"1236" 38357 2104
"1242" 68559 997
"1254" 8542 2503
"1267" 16355 410
"1278" 42358 3097
"1294" 19345 1269
"1302" 62958 393
"1306" 17742 1903
"1310" 41756 2335
"1314" 22949 3366
"1316" 46958 554
"1331" 27553 991
"1355" 22951 2365
"1377" 24553 704
"1385" 15544 469
"1474" 61559 3229
"1503" 9951 3158
"1549" 11346 1845
"1568" 69570 2176
"1583" 27554 940
"1604" 22742 2293
"1611" 22947 587
"1653" 16543 1825
"1688" 10946 662
"1691" 16942 3040
"1693" 44756 2414
"1697" 16744 1383
"1837" 70358 3410
"1899" 19142 1752
"1924" 17156 3216
"1928" 64558 858
"2003" 11142 2886
"2060" 38359 3181
"2073" 69399 2045
"2206" 10344 875
"2265" 30153 1132
"2390" 35356 219
"2436" 40756 960
"2459" 70188 350
"2519" 70193 1560
"2617" 56160 345
"2760" 20548 2921
"2820" 16551 2613
"2866" 51762 1912
"3068" 2744 999
"3075" 17942 1755
"3321" 55558 726
"3539" 26551 1188
"3704" 10142 1193
"3836" 6942 2430
"10514" 9954 828
"25572" 23754 442
