id	town	user	pop	latitude	longitude	code
2044	"Szalkszentmarton"	868	2827	46.976965	19.01009	1994
2045	"Szalonna"	163	1027	48.449464	20.735809	1675
2046	"Szamosbecs"	88	364	47.860735	22.69077	2201
2047	"Szamosker"	114	396	48.01802	22.41409	1630
2048	"Szamosujlak"	92	385	47.91824	22.585035	3127
2049	"Szamosszeg"	411	1784	48.045085	22.364104	1304
2050	"Szanda"	119	606	47.927002	19.440335	1375
2051	"Szank"	731	2370	46.55021	19.67573	1179
2052	"Szantod"	169	399	46.860161	17.9014	3423
2053	"Szany"	724	2025	47.461643	17.301986	853
2054	"Szapar"	116	499	47.31773	18.03752	1648
2055	"Szar"	522	1641	47.476544	18.519225	1954
2056	"Szarazd"	55	254	46.57192	18.426164	1826
2057	"Szarfold"	285	897	47.591808	17.122471	1571
2058	"Szarliget"	581	2388	47.519215	18.497	3349
2059	"Szarvas"	6337	17007	46.86002	20.557525	2387
2060	"Szarvasgede"	112	398	47.819265	19.637915	1019
2061	"Szaszberek"	245	969	47.31278	20.097085	577
2062	"Szaszvar"	896	2334	46.274515	18.376621	3376
2063	"Szatmarcseke"	304	1352	48.086081	22.632491	3123
2064	"Szatta"	31	65	46.797975	16.47962	244
2065	"Szatymaz"	1356	4674	46.343811	20.045852	1200
2066	"Szava"	105	350	45.903011	18.177901	3106
2067	"Szazhalombatta"	8986	18896	47.317966	18.909642	1731
2068	"Szebeny"	125	373	46.132575	18.58702	301
2069	"Szecsenke"	54	207	47.906807	19.331418	2304
2070	"Szecseny"	2161	5682	48.081215	19.520105	662
2071	"Szecsenyfelfalu"	98	436	48.145683	19.568413	3301
2072	"Szecsisziget"	104	213	46.572821	16.592554	1155
2073	"Szederkeny"	760	1830	45.99709	18.455905	560
2074	"Szedres"	587	2299	46.474845	18.68408	1681
2075	"Szeged"	92496	170052	46.25428	20.14841	3336
2076	"Szeghalom"	3415	9115	47.02136	21.17669	2188
2077	"Szegi"	75	296	48.19849	21.38086	3381
2078	"Szegvar"	1637	4440	46.58489	20.223058	3248
2079	"Szekely"	241	1040	48.057948	21.938252	3108
2080	"Szekelyszabar"	181	586	46.047965	18.601074	1677
2081	"Szekesfehervar"	52652	101722	47.196105	18.41039	1482
2082	"Szekkutas"	658	2336	46.50451	20.534115	1226
2083	"Szekszard"	16233	33311	46.34854	18.702125	2276
2084	"Szeleste"	150	677	47.308209	16.832806	3317
2085	"Szeleveny"	249	1050	46.803515	20.20693	2042
2086	"Szemely"	140	473	46.00852	18.32565	930
2087	"Szemenye"	75	308	47.101285	16.906505	2799
2088	"Szendehely"	470	1454	47.856745	19.105405	450
2089	"Szendro"	644	4062	48.407607	20.729024	807
2090	"Szenna"	177	771	46.304736	17.726065	1510
2091	"Szentantalfa"	176	426	46.910157	17.675031	356
2092	"Szentbalazs"	59	320	46.319225	17.895175	2570
2093	"Szentbekkalla"	73	186	46.88615	17.564892	709
2094	"Szentborbas"	21	132	45.87517	17.66013	3284
2095	"Szentdomonkos"	62	447	48.06592	20.192238	1323
2096	"Szente"	104	329	47.966768	19.288619	904
2097	"Szentendre"	11181	26250	47.66572	19.078225	1544
2098	"Szentes"	12058	28476	46.65193	20.25785	1445
2099	"Szentgal"	773	2676	47.111518	17.734508	792
2100	"Szentgotthard"	3603	8839	46.95265	16.273885	3158
2101	"Szentgyorgyvolgy"	92	399	46.724239	16.40271	1865
2102	"Szentimrefalva"	76	205	47.075577	17.280844	1006
2103	"Szentistvan"	495	2343	47.77372	20.660065	2216
2104	"Szentkiraly"	562	1940	46.92137	19.919045	2112
2105	"Szentkiralyszabadja"	348	2033	47.05673	17.971345	1626
2106	"Szentlaszlo"	260	843	46.153225	17.83396	1635
2107	"Szentlorinc"	3392	6848	46.04472	17.98436	1586
2108	"Szentlorinckata"	464	1881	47.524615	19.756895	754
2109	"Szentmartonkata"	1534	4948	47.45392	19.701295	2865
2110	"Szentpeterfa"	273	953	47.09462	16.480025	2125
2111	"Szentpeterszeg"	373	1101	47.238255	21.618223	1909
2112	"Szentpeterur"	248	1047	46.7624	17.042422	1116
2113	"Szepetnek"	265	1632	46.432995	16.89729	770
2114	"Szerecseny"	228	776	47.462345	17.554195	388
2115	"Szeremle"	331	1413	46.144925	18.878519	2882
2116	"Szerencs"	4145	9100	48.163195	21.199605	3073
2117	"Szerep"	335	1506	47.229245	21.142445	3343
2118	"Szergeny"	75	336	47.328293	17.268855	2779
2119	"Szigetbecse"	401	1354	47.13276	18.95065	2625
2120	"Szigetcsep"	823	2319	47.26615	18.971495	787
2121	"Szigethalom"	7026	17436	47.32838	19.005415	1327
2122	"Szigetmonostor"	781	2270	47.69025	19.101345	2621
2123	"Szigetszentmarton"	778	2129	47.23011	18.958945	1518
2124	"Szigetszentmiklos"	14260	34877	47.348305	19.042053	2895
2125	"Szigetujfalu"	690	1997	47.233285	18.922096	2211
2126	"Szigetvar"	6936	10772	46.045495	17.798005	2657
2127	"Szigliget"	354	824	46.801178	17.433712	2489
2128	"Szihalom"	553	1938	47.77853	20.47708	1101
2129	"Szikszo"	1736	5348	48.201184	20.926668	2135
2130	"Szil"	489	1217	47.498875	17.233547	1926
2131	"Szilagy"	94	289	46.100325	18.40658	1983
2132	"Szilsarkany"	250	651	47.53904	17.254698	336
2133	"Szilvagy"	71	200	46.734215	16.62773	1785
2134	"Szilvasvarad"	558	1660	48.098543	20.390344	564
2135	"Szilvasszentmarton"	56	192	46.27248	17.723805	3246
2136	"Szirak"	196	1117	47.828467	19.531539	2163
2137	"Szirmabesenyo"	1091	4344	48.1538	20.796375	949
2138	"Szob"	1052	2915	47.8195	18.86945	2491
2139	"Szoc"	49	457	47.021609	17.516697	1669
2140	"Szoce"	65	345	46.890354	16.572816	1952
2141	"Szod"	1015	3335	47.718552	19.182721	1269
2142	"Szodliget"	1533	4591	47.731855	19.148775	2886
2143	"Szogliget"	139	606	48.522331	20.67597	1617
2144	"Szoked"	116	366	45.964075	18.28852	769
2145	"Szokolya"	552	1809	47.86728	19.008445	694
2146	"Szolad"	136	547	46.788695	17.83894	1519
2147	"Szolnok"	32122	74341	47.177305	20.19453	2785
2148	"Szolosardo"	27	100	48.443646	20.630484	788
2149	"Szolosgyorok"	304	1233	46.706322	17.679939	1110
2150	"Szombathely"	39959	79348	47.228052	16.615739	300
2151	"Szomod"	584	2094	47.683864	18.341988	2261
2152	"Szomolya"	300	1559	47.88887	20.49851	1889
2153	"Szomor"	383	1136	47.591875	18.66463	2142
2154	"Szorosad"	32	90	46.60163	18.02302	519
2155	"Szucsi"	449	1563	47.801356	19.765056	998
2156	"Szugy"	311	1342	48.035488	19.32103	1878
2157	"Szuha"	117	604	47.967702	19.912665	2819
2158	"Szuhafo"	35	141	48.40949	20.450085	316
2159	"Szuhakallo"	184	946	48.28489	20.6551	1111
2160	"Szuhogy"	200	1184	48.384005	20.6747	2460
2161	"Szuliman"	51	216	46.125245	17.805595	1540
2162	"Szulok"	191	608	46.046945	17.55033	1098
2163	"Szur"	93	275	46.098505	18.579965	1121
2164	"Szurdokpuspoki"	446	1927	47.86322	19.69425	1904
2165	"Tab"	1985	4242	46.734349	18.036603	859
2166	"Tabajd"	293	962	47.400153	18.632794	1446
2167	"Tabdi"	303	1076	46.67737	19.315595	2543
2168	"Taborfalva"	1126	3306	47.102465	19.481025	833
2169	"Tac"	455	1649	47.081359	18.409251	2926
2170	"Tahitotfalu"	2048	5656	47.755035	19.089475	3196
2171	"Takacsi"	223	800	47.397962	17.472862	1312
2172	"Taksony"	2454	6394	47.330645	19.061987	3072
2173	"Taktaharkany"	705	3642	48.084731	21.139092	1824
2174	"Taktakenez"	127	1243	48.051177	21.218076	2878
2175	"Taktaszada"	311	1878	48.10841	21.17113	313
2176	"Taliandorogd"	211	735	46.980598	17.568199	1732
2177	"Tallya"	450	1905	48.235665	21.228235	1221
2178	"Tamasi"	3684	8389	46.629965	18.284151	2456
2179	"Tanakajd"	148	765	47.18486	16.740772	1621
2180	"Tap"	234	699	47.516685	17.828065	1426
2181	"Tapiobicske"	959	3449	47.3624	19.68645	1501
2182	"Tapiogyorgye"	970	3487	47.33622	19.949289	1730
2183	"Tapiosag"	784	2615	47.40143	19.62532	940
2184	"Tapioszecso"	2038	6353	47.449826	19.606733	3179
2185	"Tapioszele"	1837	6122	47.335793	19.873249	1414
2186	"Tapioszentmarton"	1455	5334	47.340266	19.759269	1457
2187	"Tapioszolos"	857	2914	47.296495	19.83287	276
2188	"Taplanszentkereszt"	530	2617	47.194204	16.696543	3204
2189	"Tapolca"	7668	15596	46.882586	17.438697	2943
2190	"Tapsony"	161	693	46.457285	17.332706	2461
2191	"Tapszentmiklos"	315	948	47.496535	17.85254	2197
2192	"Tar"	426	1844	47.94935	19.740675	3289
2193	"Tarany"	180	1162	46.177296	17.302802	1673
2194	"Tarcal"	911	2824	48.128967	21.345283	2174
2195	"Tard"	240	1230	47.88187	20.59708	816
2196	"Tardona"	266	1011	48.170256	20.528756	1478
2197	"Tardos"	453	1580	47.666088	18.445373	3022
2198	"Tarhos"	213	915	46.813825	21.212845	3307
2199	"Tarjan"	826	2677	47.61363	18.511725	1893
2200	"Tarjanpuszta"	162	385	47.505605	17.78439	3391
2201	"Tarkany"	374	1554	47.59037	18.00277	2098
2202	"Tarnalelesz"	199	1663	48.058252	20.183726	1324
2203	"Tarnamera"	430	1603	47.651805	20.15415	2334
2204	"Tarnaors"	173	1804	47.595871	20.0518	1412
2205	"Tarnaszentmaria"	51	225	47.877167	20.201433	905
2206	"Tarnok"	3518	9252	47.36199	18.873205	415
2207	"Tarnokreti"	51	193	47.723005	17.30889	417
2208	"Tarpa"	527	2049	48.103968	22.528558	431
2209	"Taska"	51	391	46.618816	17.523873	1369
2210	"Tass"	799	2906	47.020153	19.032925	2052
2211	"Taszar"	558	1973	46.37167	17.905775	493
2212	"Tat"	1941	5343	47.744074	18.646421	875
2213	"Tata"	10246	24906	47.64583	18.332035	2012
2214	"Tatabanya"	29521	70003	47.586775	18.39745	1815
2215	"Tatahaza"	368	1235	46.175105	19.299405	1454
2216	"Tatarszentgyorgy"	450	1974	47.080669	19.37089	2738
2217	"Tazlar"	406	1702	46.548975	19.51587	2499
2218	"Teglas"	2644	6637	47.71292	21.677205	2321
2219	"Teklafalu"	73	317	45.949444	17.728357	3207
2220	"Telekgerendas"	407	1549	46.65518	20.943745	1268
2221	"Teleki"	47	202	46.77186	17.82238	2396
2222	"Telki"	1163	3899	47.549235	18.82366	828
2223	"Telkibanya"	172	555	48.48568	21.35448	1376
2224	"Tengelic"	567	2254	46.52798	18.71234	690
2225	"Tengod"	80	497	46.701283	18.0987	3241
2226	"Tenk"	266	1166	47.656565	20.343255	1407
2227	"Tenyo"	408	1540	47.541735	17.64402	1145
2228	"Tepe"	348	1119	47.32131	21.56466	3104
2229	"Terem"	208	617	47.797365	22.282375	3335
2230	"Tereny"	48	421	47.94644	19.440181	484
2231	"Tereske"	184	721	47.949554	19.195137	2417
2232	"Tes"	192	797	47.25915	18.031828	2057
2233	"Teseny"	119	323	45.948454	18.049634	2097
2234	"Teskand"	329	1127	46.853373	16.777104	882
2235	"Tet"	1429	3877	47.515573	17.517908	1903
2236	"Tetetlen"	339	1394	47.31376	21.30677	1969
2237	"Tevel"	426	1458	46.408747	18.455696	3145
2238	"Tibolddaroc"	344	1417	47.921905	20.634564	3044
2239	"Tiborszallas"	234	939	47.814935	22.407985	895
2240	"Tihany"	561	1357	46.914405	17.887105	3046
2241	"Tilaj"	41	202	46.806254	17.044589	2795
2242	"Timar"	202	1329	48.156024	21.463337	2447
2243	"Tinnye"	562	1610	47.619916	18.779562	710
2244	"Tiszaadony"	14	583	48.225677	22.291352	942
2245	"Tiszaalpar"	1547	4907	46.82059	19.98633	2454
2246	"Tiszababolna"	64	370	47.6886	20.812755	229
2247	"Tiszabecs"	237	1007	48.09247	22.821815	1781
2248	"Tiszabercel"	351	1893	48.15857	21.646435	385
2249	"Tiszabezded"	502	1845	48.365385	22.151212	2017
2250	"Tiszabo"	111	1862	47.304615	20.48763	1077
2251	"Tiszabura"	289	2925	47.44681	20.458165	2277
2252	"Tiszacsecse"	50	230	48.110065	22.74746	2444
2253	"Tiszacsege"	1128	4481	47.698409	20.987512	1564
2254	"Tiszacsermely"	49	554	48.233895	21.79305	2913
2255	"Tiszadada"	469	2229	48.031738	21.237823	643
2256	"Tiszaderzs"	216	1046	47.5131	20.64163	1623
2257	"Tiszadob"	633	2924	48.00838	21.168595	1259
2258	"Tiszadorogma"	118	367	47.682931	20.86481	371
2259	"Tiszaeszlar"	387	2566	48.042218	21.454878	911
2260	"Tiszafoldvar"	3443	11120	46.951809	20.252769	1381
2261	"Tiszafured"	4027	10694	47.621189	20.747761	2972
2262	"Tiszagyulahaza"	191	705	47.943695	21.141525	3084
2263	"Tiszaigar"	182	813	47.533333	20.796988	2869
2264	"Tiszainoka"	88	415	46.906165	20.15364	2044
2265	"Tiszajeno"	351	1642	47.034695	20.145075	2934
2266	"Tiszakanyar"	355	1597	48.24731	21.961287	855
2267	"Tiszakarad"	262	2279	48.210765	21.718755	1397
2268	"Tiszakecske"	3711	11237	46.931761	20.093121	3062
2269	"Tiszakerecseny"	152	874	48.25859	22.30282	444
2270	"Tiszakeszi"	542	2487	47.788355	20.99248	1388
2271	"Tiszakorod"	80	687	48.106115	22.709805	879
2272	"Tiszakurt"	375	1353	46.885342	20.118971	3038
2273	"Tiszaladany"	126	670	48.06235	21.411815	1938
2274	"Tiszalok"	1877	5517	48.016178	21.375031	2352
2275	"Tiszamogyoros"	91	626	48.319404	22.2315	1190
2276	"Tiszanagyfalu"	394	1807	48.0944	21.47075	2725
2277	"Tiszanana"	384	2309	47.56251	20.522275	708
2278	"Tiszaors"	304	1225	47.50882	20.819019	1578
2279	"Tiszapalkonya"	260	1407	47.885465	21.054904	863
2280	"Tiszapuspoki"	437	2005	47.21376	20.317039	337
2281	"Tiszaroff"	413	1520	47.39725	20.44441	2018
2282	"Tiszasas"	268	985	46.8203	20.08558	2149
2283	"Tiszasuly"	350	1370	47.392391	20.391991	1769
2284	"Tiszaszalka"	299	810	48.18674	22.315955	1354
2285	"Tiszaszentimre"	581	2086	47.491532	20.723351	2278
2286	"Tiszaszentmarton"	209	1122	48.378806	22.232891	2754
2287	"Tiszasziget"	331	1751	46.173925	20.163505	1696
2288	"Tiszatarjan"	257	1408	47.832265	20.999995	3037
2289	"Tiszatelek"	452	1366	48.1878	21.826599	1444
2290	"Tiszatenyo"	341	1627	47.135185	20.382985	962
2291	"Tiszaug"	195	899	46.85825	20.051575	1409
2292	"Tiszaujvaros"	8890	16557	47.934963	21.03765	2835
2293	"Tiszavalk"	63	307	47.69031	20.748086	1097
2294	"Tiszavarkony"	441	1526	47.067305	20.17471	3186
2295	"Tiszavasvari"	4455	12551	47.962365	21.350679	759
2296	"Tisztaberek"	94	610	47.955968	22.792029	2726
2297	"Toalmas"	970	3371	47.50919	19.664865	2146
2298	"Tofalu"	76	526	47.77606	20.23633	996
2299	"Tofej"	243	681	46.669955	16.79914	534
2300	"Tok"	477	1353	47.56739	18.73151	2452
2301	"Tokaj"	2034	4839	48.12073	21.412586	1830
2302	"Tokod"	1485	4215	47.720065	18.654312	1415
2303	"Tokodaltaro"	837	3045	47.73156	18.693175	3402
2304	"Tokol"	4086	10416	47.321449	18.96147	2982
2305	"Tokorcs"	86	358	47.269199	17.100825	922
2306	"Tolcsva"	423	1681	48.28364	21.449445	2805
2307	"Tolmacs"	232	692	47.929	19.10917	638
2308	"Tolna"	4012	11367	46.42292	18.78775	2527
2309	"Tolnanemedi"	240	1067	46.714925	18.47459	1103
2310	"Toltestava"	514	2217	47.626701	17.73398	1667
2311	"Tomajmonostora"	189	704	47.435471	20.705472	955
2312	"Tomorkeny"	409	1751	46.614269	20.043131	2590
2313	"Tompa"	1283	4543	46.207605	19.536395	2848
2314	"Tompaladony"	99	307	47.38084	16.884785	1233
2315	"Tordas"	707	2123	47.34514	18.7535	2100
2316	"Tormas"	108	284	46.229471	17.990493	2242
2317	"Tornakapolna"	12	23	48.462709	20.61662	1037
2318	"Tornaszentandras"	35	193	48.520579	20.776502	2783
2319	"Tornyiszentmiklos"	169	616	46.518585	16.556525	3263
2320	"Tornyosnemeti"	76	445	48.521741	21.251271	2905
2321	"Tornyospalca"	537	2483	48.264765	22.169135	1695
2322	"Torokbalint"	5125	13587	47.434429	18.915039	685
2323	"Torokkoppany"	112	492	46.600689	18.049549	2009
2324	"Torokszentmiklos"	6576	21043	47.178089	20.400631	2731
2325	"Torony"	338	1948	47.240174	16.536568	2987
2326	"Tortel"	929	4256	47.122398	19.93774	2200
2327	"Toszeg"	1395	4380	47.101018	20.147543	749
2328	"Totkomlos"	2056	5780	46.410815	20.734895	1643
2329	"Totszentmarton"	215	831	46.421742	16.802234	1638
2330	"Totszerdahely"	272	1137	46.39643	16.801495	2511
2331	"Tottos"	206	573	45.915459	18.54253	413
2332	"Totvazsony"	325	1234	47.008425	17.786695	271
2333	"Trizs"	58	195	48.425323	20.494313	491
2334	"Tunyogmatolcs"	595	2427	47.972149	22.454411	1321
2335	"Tura"	2284	7731	47.61167	19.59862	959
2336	"Turistvandi"	157	660	48.051635	22.64042	1360
2337	"Turje"	481	1650	46.984612	17.104321	1260
2338	"Turkeve"	2591	8741	47.107805	20.733235	2822
2339	"Turony"	81	249	45.906727	18.229661	1858
2340	"Turricse"	117	603	47.97837	22.757955	899
2341	"Tuskevar"	201	561	47.121361	17.311331	463
2342	"Tuzser"	769	3301	48.337293	22.125604	991
2343	"Tyukod"	519	1832	47.853115	22.558955	3139
2344	"Udvari"	114	400	46.592901	18.511467	2136
2345	"Ugod"	336	1420	47.314234	17.604771	2476
2346	"Ujbarok"	162	440	47.479078	18.556587	1748
2347	"Ujcsanalos"	171	867	48.135355	20.999995	1248
2348	"Ujdombrad"	198	660	48.195432	21.869814	3365
2349	"Ujfeherto"	5456	13005	47.800828	21.685555	2661
2350	"Ujhartyan"	852	2780	47.220805	19.38295	629
2351	"Ujiraz"	156	505	46.985774	21.356306	2339
2352	"Ujkenez"	194	1021	48.249315	22.22699	1011
2353	"Ujker"	236	977	47.462588	16.814634	1967
2354	"Ujkigyos"	1701	5235	46.59556	21.026935	235
2355	"Ujlengyel"	547	1730	47.23154	19.44877	1968
2356	"Ujleta"	166	1038	47.466935	21.872675	2041
2357	"Ujlorincfalva"	59	250	47.626309	20.599204	2762
2358	"Ujpetre"	377	1033	45.936545	18.36306	606
2359	"Ujronafo"	202	793	47.81233	17.20459	3183
2360	"Ujsolt"	31	153	46.870845	19.11772	878
2361	"Ujszasz"	1738	6360	47.29213	20.07364	1529
2362	"Ujszentivan"	338	1786	46.1886	20.18285	1492
2363	"Ujszentmargita"	352	1399	47.728513	21.104709	3256
2364	"Ujszilvas"	693	2759	47.265155	19.91182	1780
2365	"Ujtelek"	66	373	46.588375	19.059315	3360
2366	"Ujtikos"	294	907	47.91722	21.169545	1192
2367	"Ujudvar"	201	905	46.537215	16.985439	3219
2368	"Ukk"	78	323	47.043609	17.214192	2301
2369	"Ulles"	1039	3142	46.33707	19.84956	2141
2370	"Ullo"	4321	11435	47.385502	19.346319	1289
2371	"Und"	106	315	47.489838	16.697558	2079
2372	"Uny"	209	722	47.64187	18.7364	2763
2373	"Uppony"	68	309	48.214713	20.433691	1835
2374	"Ura"	169	605	47.81717	22.608325	2898
2375	"Uraiujfalu"	275	879	47.37159	16.98494	2153
2376	"Urhida"	603	2366	47.132845	18.33411	1762
2377	"Uri"	885	2685	47.41251	19.522077	2864
2378	"Urkut"	484	2059	47.081295	17.641641	2085
2379	"Urom"	2102	7318	47.599369	19.01363	1193
2380	"Uszka"	44	397	48.073136	22.858496	3182
2381	"Uszod"	211	1008	46.570445	18.905015	1629
2382	"Uzsa"	124	323	46.896106	17.339568	3421
2383	"Vac"	15412	34810	47.780305	19.131185	2493
2384	"Vacduka"	429	1367	47.747655	19.209576	591
2385	"Vacegres"	236	883	47.67626	19.366525	3033
2386	"Vachartyan"	626	1820	47.726601	19.252205	1988
2387	"Vackisujfalu"	123	455	47.704586	19.349925	569
2388	"Vacratot"	662	1870	47.703885	19.240955	1766
2389	"Vacszentlaszlo"	690	2092	47.574195	19.53739	910
2390	"Vadna"	132	597	48.273835	20.55634	722
2391	"Vag"	121	481	47.446703	17.211652	223
2392	"Vaja"	973	3545	48.003361	22.16879	1859
2393	"Vajdacska"	199	1302	48.324065	21.656199	3000
2394	"Vajszlo"	905	1694	45.859034	17.984467	2853
2395	"Vajta"	203	1053	46.717541	18.665356	245
2396	"Val"	899	2521	47.36294	18.67962	582
2397	"Valko"	634	2524	47.565166	19.51573	1759
2398	"Vallaj"	221	874	47.760782	22.384595	693
2399	"Vamosatya"	100	530	48.200439	22.408299	2732
2400	"Vamoscsalad"	103	314	47.389901	16.966937	3105
2401	"Vamosgyork"	420	1991	47.681648	19.92786	1458
2402	"Vamosmikola"	358	1583	47.977947	18.785567	1073
2403	"Vamosoroszi"	122	492	47.991135	22.68422	893
2404	"Vamospercs"	1655	5263	47.526075	21.897834	898
2405	"Vamosujfalu"	175	857	48.260582	21.451965	1514
2406	"Vamosszabadi"	363	1632	47.75873	17.64579	1240
2407	"Vancsod"	294	1221	47.20421	21.640155	1676
2408	"Vanyarc"	234	1234	47.825465	19.449021	3091
2409	"Vanyola"	109	548	47.384885	17.59576	2177
2410	"Varalja"	237	851	46.26309	18.420988	3285
2411	"Varaszlo"	31	143	46.4346	17.21631	927
2412	"Varaszo"	69	492	48.0584	20.11252	2701
2413	"Varbalog"	115	385	47.831975	17.06964	1841
2414	"Varbo"	235	1087	48.16102	20.61835	2181
2415	"Varda"	113	483	46.461505	17.744075	2678
2416	"Vardomb"	357	1165	46.24029	18.69281	941
2417	"Vargesztes"	157	548	47.4743	18.397595	1725
2418	"Varosfold"	604	2162	46.8158	19.757151	1066
2419	"Varoslod"	388	1394	47.14827	17.653702	706
2420	"Varpalota"	9012	20305	47.20058	18.14034	1143
2421	"Varsad"	84	372	46.524398	18.519114	663
2422	"Varsany"	278	1635	48.042374	19.492711	2949
2423	"Varvolgy"	261	1045	46.86499	17.29726	1418
2424	"Vasad"	538	1899	47.324268	19.404991	2258
2425	"Vasarosdombo"	347	1090	46.305495	18.13104	226
2426	"Vasarosfalu"	65	157	47.45416	17.11793	1788
2427	"Vasarosmiske"	83	351	47.207022	17.061773	919
2428	"Vasarosnameny"	4625	8670	48.130264	22.317254	1832
2429	"Vasasszonyfa"	77	368	47.310518	16.669962	2039
2430	"Vasboldogasszony"	184	606	46.94524	16.868765	1030
2431	"Vasegerszeg"	85	390	47.373575	16.922495	1533
2432	"Vashosszufalu"	60	353	47.113412	17.058531	2034
2433	"Vaskeresztes"	79	377	47.194176	16.454333	3070
2434	"Vaskut"	1095	3421	46.108145	18.989065	2834
2435	"Vasmegyer"	456	1678	48.113005	21.81617	2710
2436	"Vaspor"	88	376	46.918282	16.64889	1432
2437	"Vassurany"	175	800	47.283112	16.70156	2598
2438	"Vasvar"	1844	4127	47.050752	16.798621	469
2439	"Vaszar"	409	1446	47.402965	17.515185	2664
2440	"Vaszoly"	75	220	46.939688	17.759708	1665
2441	"Vasszecseny"	246	1416	47.1822	16.74702	2937
2442	"Vat"	120	662	47.282877	16.774514	224
2443	"Vatta"	213	864	47.920912	20.737298	3007
2444	"Vecses"	7898	20910	47.40532	19.25568	2681
2445	"Vegegyhaza"	276	1305	46.388395	20.870115	3122
2446	"Velem"	184	336	47.344921	16.493395	2600
2447	"Velence"	2175	5359	47.224405	18.65958	2501
2448	"Veleny"	37	146	45.981964	18.057772	2207
2449	"Vemend"	425	1462	46.156744	18.615742	2027
2450	"Venek"	39	185	47.738831	17.759109	501
2451	"Vep"	572	3358	47.23098	16.723025	2642
2452	"Vereb"	206	786	47.31863	18.620075	349
2453	"Veresegyhaz"	6475	16892	47.65497	19.28734	1834
2454	"Veroce"	1176	3745	47.822372	19.033923	3372
2455	"Verpelet"	723	3812	47.84652	20.225825	2414
2456	"Verseg"	353	1338	47.722986	19.547959	2248
2457	"Versend"	186	937	45.993985	18.513021	1972
2458	"Vertesacsa"	534	1745	47.372462	18.578134	275
2459	"Vertesboglar"	288	860	47.429392	18.524779	1389
2460	"Verteskethely"	145	575	47.485898	18.082966	3258
2461	"Vertessomlo"	415	1336	47.51198	18.362757	1528
2462	"Vertestolna"	138	540	47.629621	18.453062	2962
2463	"Vertesszolos"	873	3166	47.62043	18.375165	3126
2464	"Vese"	189	747	46.412331	17.28589	818
2465	"Veszkeny"	275	913	47.594851	17.091188	458
2466	"Veszprem"	33343	64024	47.092388	17.90723	1176
2467	"Veszpremgalsa"	65	264	47.091337	17.268206	1933
2468	"Veszpremvarsany"	305	980	47.429937	17.829804	2269
2469	"Veszto"	2134	6680	46.92673	21.26422	2953
2470	"Vezseny"	163	692	47.032054	20.215612	2115
2471	"Vigantpetend"	48	194	46.963542	17.625115	973
2472	"Villany"	1364	2474	45.86909	18.455215	2802
2473	"Villanykovesd"	86	277	45.880959	18.428129	520
2474	"Vilyvitany"	69	230	48.496284	21.559009	1298
2475	"Vindornyafok"	43	123	46.856031	17.172937	3214
2476	"Vindornyalak"	25	81	46.88538	17.19443	654
2477	"Vindornyaszolos"	90	373	46.8985	17.154045	1180
2478	"Visegrad"	681	1863	47.784661	18.967059	2841
2479	"Visonta"	291	1127	47.781064	20.026216	3124
2480	"Viss"	81	631	48.216629	21.508152	509
2481	"Visz"	49	189	46.726185	17.782111	687
2482	"Viszak"	73	246	46.880579	16.496017	794
2483	"Visznek"	236	1082	47.64294	20.02717	351
2484	"Vitnyed"	487	1359	47.587025	16.979595	2579
2485	"Vizvar"	146	517	46.090074	17.22943	2978
2486	"Vizslas"	173	1308	48.048696	19.820802	1032
2487	"Vizsoly"	174	786	48.385351	21.216506	2108
2488	"Vokany"	281	817	45.913945	18.33637	589
2489	"Volcsej"	102	387	47.496792	16.760189	1631
2490	"Vonock"	170	708	47.31139	17.15996	314
2491	"Vonyarcvashegy"	713	2291	46.761955	17.315935	1291
2492	"Vorosto"	49	98	46.970348	17.718639	1170
2493	"Vors"	150	464	46.664398	17.27022	964
2494	"Zabar"	57	508	48.135034	20.042168	2166
2495	"Zador"	82	325	45.96183	17.658865	1774
2496	"Zagyvarekas"	794	3512	47.26768	20.12834	1483
2497	"Zagyvaszanto"	538	1923	47.77903	19.670705	2172
2498	"Zahony"	2031	3978	48.407422	22.175377	1620
2499	"Zajta"	81	443	47.907421	22.79776	627
2500	"Zakany"	367	941	46.255343	16.942195	1462
2501	"Zakanyszek"	779	2743	46.274555	19.88728	554
2502	"Zala"	84	255	46.670065	16.89044	1146
2503	"Zalaapati"	419	1610	46.726442	17.107426	1740
2504	"Zalabaksa"	158	638	46.703687	16.550295	757
2505	"Zalaber"	214	706	46.974238	17.028451	2428
2506	"Zalaboldogfa"	104	363	46.89796	16.76859	2849
2507	"Zalacsany"	267	1008	46.80526	17.09722	400
2508	"Zalacseb"	162	506	46.85759	16.65748	248
2509	"Zalaegerszeg"	33648	61849	46.845333	16.846657	3205
2510	"Zalaerdod"	53	244	47.05499	17.13919	2999
2511	"Zalagyomoro"	139	438	47.01899	17.234221	2720
2512	"Zalahalap"	310	1293	46.91471	17.45799	1265
2513	"Zalahashagy"	96	383	46.891677	16.626029	2383
2514	"Zalaistvand"	113	371	46.91842	16.974945	1249
2515	"Zalakaros"	697	1846	46.550585	17.123385	1178
2516	"Zalakomar"	508	3000	46.54765	17.175035	1034
2517	"Zalalovo"	1097	3021	46.846642	16.58522	3031
2518	"Zalaszabar"	140	541	46.640825	17.112425	2294
2519	"Zalaszanto"	226	996	46.883397	17.227162	3328
