id	town	user	pop	latitude	longitude	code
1710	"Pankasz"	141	415	46.837665	16.497682	2310
1711	"Pannonhalma"	1302	3937	47.5546	17.76023	2430
1712	"Panyok"	16	47	48.529102	21.347766	2473
1713	"Panyola"	177	579	48.042215	22.396715	2955
1714	"Pap"	516	1796	48.221226	22.14053	2774
1715	"Papa"	14786	32052	47.328335	17.469605	3194
1716	"Papakovacsi"	99	532	47.266958	17.486683	1185
1717	"Papateszer"	286	1150	47.381815	17.69465	3125
1718	"Papkeszi"	392	1567	47.08273	18.08353	734
1719	"Papoc"	67	287	47.412605	17.127085	1406
1720	"Papos"	208	790	47.985841	22.250194	3257
1721	"Parad"	487	1964	47.923165	20.029412	743
1722	"Paradsasvar"	142	409	47.91025	19.97377	2021
1723	"Parasznya"	219	1166	48.166973	20.640307	2674
1724	"Paszab"	257	1281	48.1516	21.666427	3197
1725	"Paszto"	3327	9569	47.916295	19.69752	740
1726	"Pasztori"	85	368	47.554431	17.270129	2348
1727	"Patak"	202	883	48.019944	19.146257	719
1728	"Patca"	21	63	46.281085	17.71916	1216
1729	"Patka"	379	1628	47.282755	18.484655	2884
1730	"Patroha"	649	2839	48.17175	21.99075	1218
1731	"Paty"	2606	7232	47.51125	18.82511	1502
1732	"Patyod"	106	658	47.867121	22.620678	2368
1733	"Pazmand"	558	2029	47.29113	18.65098	2178
1734	"Pazmandfalu"	303	973	47.570396	17.782982	1271
1735	"Pecel"	5552	15437	47.490105	19.333205	405
1736	"Pecol"	258	792	47.205311	16.819941	1498
1737	"Pecs"	87845	156801	46.07308	18.22857	1941
1738	"Pecsdevecser"	42	96	45.957065	18.385022	1538
1739	"Pecsely"	132	512	46.955168	17.787639	2245
1740	"Pecsudvard"	199	751	46.010085	18.27458	2109
1741	"Pecsvarad"	1812	4022	46.157968	18.423427	1082
1742	"Pellerd"	695	2209	46.03678	18.155771	1611
1743	"Pely"	262	1291	47.490765	20.342095	1956
1744	"Penc"	450	1564	47.803206	19.251368	1868
1745	"Peneszlek"	218	936	47.639095	22.142385	1708
1746	"Penzesgyor"	81	338	47.22994	17.78801	1554
1747	"Per"	690	2333	47.616836	17.806618	1552
1748	"Perbal"	795	2239	47.589108	18.755043	2818
1749	"Pere"	21	333	48.28488	21.122175	2442
1750	"Pereked"	32	172	46.094097	18.378352	1286
1751	"Perenye"	142	686	47.29292	16.57393	1368
1752	"Peresznye"	110	823	47.425176	16.649214	888
1753	"Pereszteg"	415	1405	47.601115	16.73957	2377
1754	"Perkata"	1225	3942	47.051533	18.78997	1935
1755	"Perkupa"	138	819	48.471697	20.690032	3341
1756	"Perocseny"	120	304	47.993435	18.86197	418
1757	"Peterd"	50	197	45.971801	18.3611	3242
1758	"Peteri"	725	2201	47.38795	19.41014	2184
1759	"Petervasara"	663	2464	48.017945	20.102295	1207
1760	"Petfurdo"	1851	4717	47.15942	18.123329	3425
1761	"Petnehaza"	517	1773	48.056825	22.081385	1722
1762	"Petofibanya"	907	2754	47.76634	19.70041	3368
1763	"Petofiszallas"	312	1478	46.623146	19.862367	1543
1764	"Petohaza"	384	1058	47.597935	16.894041	2283
1765	"Petomihalyfa"	60	193	46.982435	16.785375	1157
1766	"Petrikeresztur"	108	369	46.735776	16.724138	1917
1767	"Petrivente"	86	352	46.439928	16.840581	3075
1768	"Pettend"	54	149	46.00114	17.698195	2976
1769	"Pilis"	4000	11460	47.285654	19.547632	982
1770	"Pilisborosjeno"	1277	3373	47.60584	18.992147	2960
1771	"Piliscsaba"	2720	8381	47.632005	18.82559	714
1772	"Piliscsev"	800	2364	47.673427	18.818041	2187
1773	"Pilisjaszfalu"	522	1592	47.654935	18.79088	3414
1774	"Pilismarot"	619	2120	47.78596	18.872765	1466
1775	"Pilisvorosvar"	5251	13768	47.621349	18.91058	1434
1776	"Pilisszanto"	819	2503	47.667441	18.888311	529
1777	"Pilisszentivan"	1619	4360	47.608565	18.899615	1139
1778	"Pilisszentkereszt"	912	2229	47.69196	18.903825	1873
1779	"Pilisszentlaszlo"	294	1189	47.72107	18.987275	845
1780	"Pincehely"	782	2266	46.681726	18.439494	1958
1781	"Pinnye"	99	321	47.587735	16.76834	1468
1782	"Piricse"	286	1808	47.771711	22.152784	339
1783	"Pirto"	228	941	46.51784	19.43287	1539
1784	"Pitvaros"	495	1341	46.321385	20.73669	628
1785	"Pocsaj"	490	2579	47.28462	21.82747	1183
1786	"Pocsmegyer"	574	2021	47.7165	19.09576	490
1787	"Pocspetri"	486	1713	47.881795	21.991305	1124
1788	"Pogany"	324	1168	45.981895	18.26007	1724
1789	"Pokaszepetk"	386	988	46.92462	16.96818	2105
1790	"Polgar"	2575	7915	47.872962	21.113613	2311
1791	"Polgardi"	2101	6964	47.055455	18.301555	1752
1792	"Poloske"	279	860	46.754951	16.92417	986
1793	"Poloskefo"	75	405	46.602161	16.94663	3111
1794	"Pomaz"	6548	17101	47.643822	19.03034	637
1795	"Porboly"	146	533	46.20575	18.813971	3357
1796	"Porcsalma"	540	2538	47.881596	22.570482	1721
1797	"Pornoapati"	259	415	47.156603	16.464925	2036
1798	"Poroszlo"	663	2715	47.642845	20.65134	2219
1799	"Porpac"	50	153	47.242525	16.804515	2989
1800	"Porszombat"	104	300	46.728531	16.580175	1685
1801	"Porva"	124	435	47.308799	17.814368	2351
1802	"Posfa"	71	270	47.326612	16.852864	1567
1803	"Potrete"	78	250	46.677151	16.95414	2466
1804	"Prugy"	394	2348	48.081322	21.25173	2127
1805	"Puski"	189	641	47.886929	17.404831	1296
1806	"Puspokhatvan"	333	1502	47.77409	19.36747	2138
1807	"Puspokladany"	5552	14698	47.317959	21.116911	1016
1808	"Puspokmolnari"	216	896	47.091019	16.79812	727
1809	"Puspokszilagy"	178	754	47.740891	19.314421	430
1810	"Pusztaberki"	33	118	47.97524	19.16501	1786
1811	"Pusztacsalad"	75	246	47.484255	16.90339	3137
1812	"Pusztadobos"	345	1353	48.05595	22.222165	1386
1813	"Pusztaederics"	50	180	46.639565	16.800085	2746
1814	"Pusztafalu"	67	192	48.547185	21.490576	1704
1815	"Pusztafoldvar"	447	1700	46.531738	20.80567	539
1816	"Pusztahencse"	41	978	46.59206	18.721205	1993
1817	"Pusztakovacsi"	123	842	46.5441	17.571263	1902
1818	"Pusztamagyarod"	156	563	46.60318	16.82059	653
1819	"Pusztamerges"	316	1227	46.328535	19.684845	635
1820	"Pusztamonostor"	382	1579	47.553684	19.796656	1524
1821	"Pusztaottlaka"	54	356	46.54819	20.97542	1959
1822	"Pusztaszabolcs"	2209	5997	47.136265	18.759655	2901
1823	"Pusztaszentlaszlo"	188	599	46.635858	16.841635	2663
1824	"Pusztaszer"	368	1480	46.549655	19.98452	2859
1825	"Pusztavacs"	362	1395	47.173254	19.499163	2308
